0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/dataTablesBootstrap/dataTables.bootstrap.css.xhtml?ln=components HTTP/1.1" 200 9221
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 33092
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/themes.css.xhtml?ln=css HTTP/1.1" 200 22247
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/jquery/jquery.min.js.xhtml?ln=components HTTP/1.1" 200 93723
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/iCheck/icheck.min.js.xhtml?ln=components HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/bootstrap-switch/bootstrap-switch.min.js.xhtml?ln=components HTTP/1.1" 200 14945
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/matchHeight/jquery.matchHeight-min.js.xhtml?ln=components HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/select2/dist/js/select2.full.min.js.xhtml?ln=components HTTP/1.1" 200 71251
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/dataTablesBootstrap/dataTables.bootstrap.js.xhtml?ln=components HTTP/1.1" 200 4473
